time_s,velocity_px/s,raw_velocity_px/s
0.03333333333333333,-51.986416415591,-51.94988250732422
0.05,-55.384661947966585,-168.79634857177732
0.06666666666666667,-52.99753438946348,-65.65189361572267
0.08333333333333333,-45.58304389394882,-17.291450500488285
0.1,-38.187158572854976,-6.538581848144528
0.11666666666666667,-34.2327991191435,-20.92552185058594
0.13333333333333333,-33.35108877377598,-36.77845001220704
0.15,-32.86437776479216,-46.73824310302735
0.16666666666666666,-30.31671373779091,-59.025764465332045
0.18333333333333332,-25.377832376401706,-17.61589050292969
0.2,-19.753564318156926,-2.3054122924804656
0.21666666666666667,-15.324362004621666,-18.64585876464844
0.23333333333333334,-12.987727356085516,-18.537712097167972
0.25,-13.12746350992283,-2.463340759277344
0.26666666666666666,-15.844509008958525,-3.984260559082032
0.2833333333333333,-20.150265489938814,-8.299827575683596
0.3,-23.52033593264248,-41.3961410522461
0.31666666666666665,-23.273868691522132,-66.94107055664064
0.3333333333333333,-19.028292420302353,-2.571487426757813
0.35,-13.162279278835278,-5.076026916503907
0.36666666666666664,-8.608499245855295,3.144836425781251
0.38333333333333336,-6.9491567470244515,-3.4744262695312393
0.4,-8.24292594334899,-4.770469665527345
0.4166666666666667,-11.485995241630084,-5.996131896972657
0.43333333333333335,-15.08057734525821,-30.234718322753913
0.45,-17.488235090735483,-12.500381469726566
0.4666666666666667,-17.774767653340575,-26.446151733398445
0.48333333333333334,-15.676260864482893,-15.930175781250004
0.5,-11.405635234375481,-5.941200256347657
0.5166666666666667,-5.337771999535496,-10.505676269531218
0.5333333333333333,2.101367968400819,-4.909515380859393
0.55,10.099251429191527,12.862586975097615
0.5666666666666667,17.47845471340367,30.959129333496204
0.5833333333333334,23.475155230358602,23.29273223876946
0.6,28.205318172967413,22.94425964355477
0.6166666666666667,31.961225853434946,13.233375549316365
0.6333333333333333,34.20817724449758,53.73687744140644
0.65,33.84228443191037,38.253021240234254
0.6666666666666666,30.42439109937671,35.42232513427747
0.6833333333333333,24.69389442599644,24.59220886230461
0.7,17.846465580601645,-7.968521118164091
0.7166666666666667,10.003933787949515,-6.875038146972635
0.7333333333333333,-0.9452829481234103,16.48464202880865
0.75,-18.670396569999216,-23.507308959960863
0.7666666666666667,-46.444270271236874,-2.784347534179679
0.7833333333333333,-84.82315455071985,-39.54391479492202
0.8,-130.3416000458927,-210.66799163818294
0.8166666666666667,-178.3565032542474,-192.86842346191474
0.8333333333333334,-226.35020960871213,-101.81922912597625
0.85,-270.8420890083132,-319.4686889648449
0.8666666666666667,-304.48630893228614,-372.0005035400379
0.8833333333333333,-321.59414450065367,-392.0677185058608
0.9,-324.0791881866106,-249.21455383300705
0.9166666666666666,-318.91770828671883,-331.08158111572385
0.9333333333333333,-313.5466517295587,-406.0031890869128
0.95,-316.31555016080625,-184.3694686889655
0.9666666666666667,-334.45116039787183,-232.96852111816335
0.9833333333333333,-366.33720560128234,-388.5452270507826
